"Gene","VIF","CV","CV_category","VIF_category","SYMBOL"
"5837",5.15455395917809,0.403429854220609,"LOW","LOW","PYGM"
"58538",7.32014932653526,0.960054332017228,"HIGH","MEDIUM","MPP4"
"6328",32.9583507818519,0.626572707254667,"MEDIUM","HIGH","SCN3A"
"6331",7.90200010117368,1.23848607345753,"HIGH","MEDIUM","SCN5A"
"64063",5.39514161918362,1.18083992561126,"HIGH","LOW","PRSS22"
"64084",18.715374350558,0.573145458235662,"MEDIUM","HIGH","CLSTN2"
"64137",9.25489969033719,0.725874200307625,"MEDIUM","MEDIUM","ABCG4"
"646",7.87247293950427,0.963175892409818,"HIGH","MEDIUM","BNC1"
"6504",5.36093235458691,0.397370099741636,"LOW","LOW","SLAMF1"
"6521",63.4235176109005,1.24944163309759,"HIGH","HIGH","SLC4A1"
"6547",7.64692744475387,0.633157723236077,"MEDIUM","MEDIUM","SLC8A3"
"6657",6.11222480291842,1.32975811064593,"HIGH","LOW","SOX2"
"701",5.74349646578398,0.325678091228726,"LOW","LOW","BUB1B"
"79625",8.19878423592754,0.955193905623626,"HIGH","MEDIUM","NDNF"
"79781",14.5538349737764,0.583096582184524,"MEDIUM","HIGH","DRC11"
"80332",7.99762394962262,0.503361221495388,"LOW","MEDIUM","ADAM33"
"8115",5.27699694499778,0.902789481589809,"HIGH","LOW","TCL1A"
"81930",5.33515038029609,0.38880859557309,"LOW","LOW","KIF18A"
"83998",7.71020862497662,0.768923039482357,"MEDIUM","MEDIUM","REG4"
"84063",51.2522733467465,1.65571893500592,"HIGH","HIGH","KIRREL2"
"845",5.29816417626115,0.425027707483357,"LOW","LOW","CASQ2"
"84659",5.45914695985532,0.658347305024312,"MEDIUM","LOW","RNASE7"
"84814",7.01661333816602,0.421488099135734,"LOW","MEDIUM","PLPP7"
"8516",6.28505391669875,0.799702200915401,"MEDIUM","MEDIUM","ITGA8"
"8532",11.5805393999778,0.673491846576896,"MEDIUM","HIGH","CPZ"
"85352",5.33635394797676,0.726999645282202,"MEDIUM","LOW","SHISAL1"
"860",5.95491668137575,0.342994149828437,"LOW","LOW","RUNX2"
"8643",5.75101487562043,0.436299627926857,"LOW","LOW","PTCH2"
"91851",5.69216641232809,0.829592276439733,"MEDIUM","LOW","CHRDL1"
"9363",5.51795757746207,0.424197543688824,"LOW","LOW","RAB33A"
"939",5.08233348621105,0.350125376329047,"LOW","LOW","CD27"
"941",5.88408904681069,0.485132395744238,"LOW","LOW","CD80"
"944",5.70625237881169,0.440208518752082,"LOW","LOW","TNFSF8"
"9464",12.0859784711945,0.618996857458718,"MEDIUM","HIGH","HAND2"
"9840",11.5692935569817,0.472971127586173,"LOW","HIGH","TESPA1"
